Account_id,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges
3668-QPYBK,2,Month-to-month,Mailed check,Yes,53.85,108.15
9237-HQITU,2,Month-to-month,Electronic check,Yes,70.7,151.65
9305-CDSKC,8,Month-to-month,Electronic check,Yes,99.65,820.5
7892-POOKP,28,Month-to-month,Electronic check,Yes,104.8,3046.05
0280-XJGEX,49,Month-to-month,Bank transfer (automatic),Yes,103.7,5036.3
4190-MFLUW,10,Month-to-month,Credit card (automatic),No,55.2,528.35
8779-QRDMV,1,Month-to-month,Electronic check,Yes,39.65,39.65
1066-JKSGK,1,Month-to-month,Mailed check,No,20.15,20.15
6467-CHFZW,47,Month-to-month,Electronic check,Yes,99.35,4749.15
8665-UTDHZ,1,Month-to-month,Electronic check,No,30.2,30.2
8773-HHUOZ,17,Month-to-month,Mailed check,Yes,64.7,1093.1
6047-YHPVI,5,Month-to-month,Electronic check,Yes,69.7,316.9
5380-WJKOV,34,Month-to-month,Electronic check,Yes,106.35,3549.25
8168-UQWWF,11,Month-to-month,Bank transfer (automatic),Yes,97.85,1105.4
7760-OYPDY,2,Month-to-month,Electronic check,Yes,80.65,144.15
9420-LOJKX,15,Month-to-month,Credit card (automatic),Yes,99.1,1426.4
7495-OOKFY,8,Month-to-month,Credit card (automatic),Yes,80.65,633.3
1658-BYGOY,18,Month-to-month,Electronic check,Yes,95.45,1752.55
5698-BQJOH,9,Month-to-month,Electronic check,No,94.4,857.25
5919-TMRGD,1,Month-to-month,Electronic check,Yes,79.35,79.35
9191-MYQKX,7,Month-to-month,Bank transfer (automatic),Yes,75.15,496.9
8637-XJIVR,12,Month-to-month,Electronic check,Yes,78.95,927.35
0278-YXOOG,5,Month-to-month,Mailed check,No,21.05,113.85
4598-XLKNJ,25,Month-to-month,Electronic check,Yes,98.5,2514.5
3192-NQECA,68,Two year,Bank transfer (automatic),Yes,110.0,7611.85
0486-HECZI,55,Month-to-month,Electronic check,Yes,96.75,5238.9
4846-WHAFZ,37,Month-to-month,Electronic check,Yes,76.5,2868.15
5299-RULOA,10,Month-to-month,Electronic check,Yes,100.25,1064.65
0404-SWRVG,3,Month-to-month,Electronic check,Yes,74.4,229.55
4412-YLTKF,27,Month-to-month,Electronic check,Yes,78.05,2135.5
6207-WIOLX,25,Month-to-month,Credit card (automatic),Yes,58.6,1502.65
3091-FYHKI,1,Month-to-month,Electronic check,Yes,35.45,35.45
2372-HWUHI,2,Month-to-month,Electronic check,No,44.35,81.25
0390-DCFDQ,1,Month-to-month,Mailed check,Yes,70.45,70.45
4080-OGPJL,8,Month-to-month,Electronic check,No,71.15,563.65
2135-RXIHG,1,Month-to-month,Electronic check,Yes,45.65,45.65
3874-EQOEP,7,Month-to-month,Mailed check,No,95.0,655.5
0867-MKZVY,20,Month-to-month,Electronic check,No,82.4,1592.35
3376-BMGFE,4,Month-to-month,Bank transfer (automatic),Yes,70.9,273
3445-HXXGF,58,Month-to-month,Electronic check,Yes,45.3,2651.2
1875-QIVME,2,Month-to-month,Electronic check,Yes,104.4,242.8
0691-JVSYA,53,One year,Bank transfer (automatic),Yes,94.85,5000.2
2656-FMOKZ,15,Month-to-month,Mailed check,Yes,74.45,1145.7
2070-FNEXE,7,Month-to-month,Bank transfer (automatic),No,76.45,503.6
6317-YPKDH,1,Month-to-month,Bank transfer (automatic),No,29.95,29.95
9367-WXLCH,8,Month-to-month,Bank transfer (automatic),No,84.5,662.65
1918-ZBFQJ,13,Month-to-month,Electronic check,Yes,79.25,1111.65
1024-GUALD,1,Month-to-month,Electronic check,Yes,24.8,24.8
2472-OVKUP,6,Month-to-month,Electronic check,Yes,91.0,531
