Cust_ID,State,Latitude,Longitude,ZipCode
3668-QPYBK,California,33.964131,-118.272783,90003
9237-HQITU,California,34.059281,-118.30742,90005
9305-CDSKC,California,34.048013,-118.293953,90006
7892-POOKP,California,34.062125,-118.315709,90010
0280-XJGEX,California,34.039224,-118.266293,90015
4190-MFLUW,California,34.066367,-118.309868,90020
8779-QRDMV,California,34.02381,-118.156582,90022
1066-JKSGK,California,34.066303,-118.435479,90024
6467-CHFZW,California,34.099869,-118.326843,90028
8665-UTDHZ,California,34.089953,-118.294824,90029
8773-HHUOZ,California,34.078821,-118.177576,90032
6047-YHPVI,California,34.110845,-118.259595,90039
5380-WJKOV,California,34.137412,-118.207607,90041
8168-UQWWF,California,34.11572,-118.192754,90042
7760-OYPDY,California,33.987945,-118.370442,90056
9420-LOJKX,California,33.92128,-118.274186,90061
7495-OOKFY,California,34.044271,-118.185237,90063
1658-BYGOY,California,34.108833,-118.229715,90065
5698-BQJOH,California,34.063947,-118.383001,90211
5919-TMRGD,California,33.97803,-118.217141,90255
9191-MYQKX,California,33.923573,-118.200669,90262
8637-XJIVR,California,33.977468,-118.445475,90292
0278-YXOOG,California,33.956445,-118.358634,90301
4598-XLKNJ,California,33.936291,-118.332639,90303
3192-NQECA,California,34.031529,-118.491156,90403
0486-HECZI,California,33.867257,-118.330794,90504
4846-WHAFZ,California,33.972119,-118.020188,90602
5299-RULOA,California,33.976678,-118.065875,90606
0404-SWRVG,California,33.940619,-117.9513,90631
4412-YLTKF,California,33.989524,-118.089299,90660
6207-WIOLX,California,33.391181,-118.421305,90704
3091-FYHKI,California,33.798266,-118.300237,90710
2372-HWUHI,California,33.840524,-118.148403,90712
0390-DCFDQ,California,33.79499,-118.065591,90720
4080-OGPJL,California,33.736387,-118.284363,90731
2135-RXIHG,California,33.822295,-118.26411,90745
3874-EQOEP,California,33.783047,-118.1486,90804
0867-MKZVY,California,34.196837,-118.142236,91001
3376-BMGFE,California,34.1528,-118.000482,91016
3445-HXXGF,California,34.168686,-118.057505,91024
1875-QIVME,California,34.296574,-118.244839,91042
0691-JVSYA,California,34.167465,-118.165327,91103
2656-FMOKZ,California,34.139402,-118.128658,91106
2070-FNEXE,California,34.159007,-118.087353,91107
6317-YPKDH,California,34.167926,-118.267539,91202
9367-WXLCH,California,34.136306,-118.26036,91204
1918-ZBFQJ,California,34.162515,-118.203869,91206
1024-GUALD,California,34.182378,-118.262922,91207
2472-OVKUP,California,34.224377,-118.632656,91304
1285-OKIPP,California,34.266389,-118.459744,91345
7825-ECJRF,California,34.502432,-118.41459,91350
7841-TZDMQ,California,34.231053,-118.338307,91352
9408-SSNVZ,California,34.364153,-118.615583,91381
0742-MOABM,California,34.223768,-118.445461,91402
2232-DMLXU,California,34.17847,-118.459472,91411
8937-RDTHP,California,34.213049,-118.317651,91504
1251-KRREG,California,34.1692,-118.372498,91601
0094-OIFMO,California,34.207295,-118.400022,91605
9947-OTFQU,California,34.097345,-117.906736,91722
0322-YINQP,California,34.084747,-117.886844,91723
4629-NRXKX,California,34.079934,-118.046695,91731
9514-JDSKI,California,34.074492,-118.01462,91732
4959-JOSRX,California,34.031441,-117.936436,91744
7273-TEFQD,California,34.038983,-117.991372,91746
3606-TWKGI,California,33.976753,-117.897367,91748
6323-AYBRX,California,34.057256,-117.667677,91762
4385-GZQXV,California,34.074087,-117.605618,91764
6366-ZGQGL,California,34.042286,-117.756106,91766
5940-AHUHD,California,34.067932,-117.785168,91768
6432-TWQLB,California,34.065108,-118.082791,91770
4484-GLZOU,California,34.102119,-117.815532,91773
9512-UIBFX,California,34.061634,-117.893169,91791
5583-SXDAG,California,34.074736,-118.145959,91803
3488-PGMQJ,California,32.827184,-116.703729,91901
3580-REOAC,California,32.67117,-117.00232,91902
7534-BFESC,California,32.677097,-116.304991,91905
6390-DSAZX,California,32.857946,-116.561917,91931
8098-LLAZX,California,32.649787,-116.2237,91934
0265-EDXBD,California,32.830852,-116.444601,91948
7563-BIUPC,California,33.200369,-116.192313,92004
2321-OMBXY,California,33.098018,-117.258203,92009
2840-XANRC,California,32.948262,-117.256086,92014
5020-ZSTTY,California,32.79697,-116.969082,92020
5804-LEPIM,California,33.079834,-117.134275,92029
0122-OAHPZ,California,33.254497,-117.285879,92057
2868-SNELZ,California,33.384345,-117.072619,92059
4322-RCYMT,California,33.309852,-116.823091,92060
6680-NENYN,California,33.313828,-116.940501,92061
1343-EHPYB,California,33.215251,-116.53633,92066
2034-GDRCN,California,33.25283,-116.986079,92082
