CustomerID,Gender,SeniorCitizen,Partner,Dependents
3668-QPYBK,Male,No,No,No
9237-HQITU,Female,No,No,Yes
9305-CDSKC,Female,No,No,Yes
7892-POOKP,Female,No,Yes,Yes
0280-XJGEX,Male,No,No,Yes
4190-MFLUW,Female,No,Yes,No
8779-QRDMV,Male,Yes,No,No
1066-JKSGK,Male,No,No,No
6467-CHFZW,Male,No,Yes,Yes
8665-UTDHZ,Male,No,Yes,No
8773-HHUOZ,Female,No,No,No
6047-YHPVI,Male,No,No,Yes
5380-WJKOV,Male,No,No,Yes
8168-UQWWF,Female,No,No,Yes
7760-OYPDY,Female,No,No,Yes
9420-LOJKX,Female,No,No,Yes
7495-OOKFY,Female,Yes,Yes,Yes
1658-BYGOY,Male,Yes,No,Yes
5698-BQJOH,Female,No,No,Yes
5919-TMRGD,Female,No,No,Yes
9191-MYQKX,Female,No,Yes,Yes
8637-XJIVR,Female,No,No,Yes
0278-YXOOG,Male,No,No,No
4598-XLKNJ,Female,Yes,Yes,Yes
3192-NQECA,Male,No,Yes,No
0486-HECZI,Male,No,Yes,Yes
4846-WHAFZ,Female,Yes,Yes,Yes
5299-RULOA,Female,No,Yes,Yes
0404-SWRVG,Male,No,No,Yes
4412-YLTKF,Female,Yes,No,Yes
6207-WIOLX,Female,No,Yes,No
3091-FYHKI,Male,No,No,No
2372-HWUHI,Male,No,No,No
0390-DCFDQ,Female,Yes,Yes,Yes
4080-OGPJL,Female,No,No,No
2135-RXIHG,Male,No,No,No
3874-EQOEP,Male,No,No,Yes
0867-MKZVY,Female,No,Yes,Yes
3376-BMGFE,Female,No,No,Yes
3445-HXXGF,Male,Yes,Yes,No
1875-QIVME,Female,No,Yes,Yes
0691-JVSYA,Female,No,Yes,No
2656-FMOKZ,Female,Yes,No,Yes
2070-FNEXE,Female,Yes,No,Yes
6317-YPKDH,Female,No,No,No
9367-WXLCH,Male,No,No,Yes
1918-ZBFQJ,Female,No,No,Yes
1024-GUALD,Female,No,Yes,No
2472-OVKUP,Male,No,Yes,Yes
1285-OKIPP,Male,No,No,Yes
7825-ECJRF,Female,No,No,Yes
7841-TZDMQ,Male,No,No,No
9408-SSNVZ,Female,No,No,Yes
0742-MOABM,Male,No,Yes,No
2232-DMLXU,Female,No,Yes,No
8937-RDTHP,Male,No,No,Yes
1251-KRREG,Male,No,No,No
0094-OIFMO,Female,Yes,No,Yes
9947-OTFQU,Male,Yes,No,No
0322-YINQP,Male,No,No,No
4629-NRXKX,Female,No,Yes,No
9514-JDSKI,Male,Yes,Yes,No
4959-JOSRX,Female,No,Yes,No
7273-TEFQD,Male,Yes,No,No
3606-TWKGI,Male,Yes,No,No
6323-AYBRX,Male,No,No,No
4385-GZQXV,Female,Yes,No,No
6366-ZGQGL,Male,No,No,No
5940-AHUHD,Male,No,No,No
6432-TWQLB,Male,No,Yes,No
4484-GLZOU,Female,No,Yes,No
9512-UIBFX,Male,No,Yes,No
5583-SXDAG,Male,No,Yes,No
3488-PGMQJ,Male,Yes,No,No
3580-REOAC,Male,No,No,No
7534-BFESC,Male,Yes,No,No
6390-DSAZX,Female,No,No,No
8098-LLAZX,Female,Yes,No,No
0265-EDXBD,Male,Yes,Yes,No
7563-BIUPC,Male,No,No,No
2321-OMBXY,Female,No,Yes,No
2840-XANRC,Male,Yes,Yes,No
5020-ZSTTY,Female,Yes,No,No
5804-LEPIM,Female,Yes,No,No
0122-OAHPZ,Female,No,No,No
2868-SNELZ,Female,No,No,No
4322-RCYMT,Male,No,Yes,No
6680-NENYN,Female,No,No,No
1343-EHPYB,Male,No,Yes,No
2034-GDRCN,Female,No,No,No
0219-YTZUE,Male,No,Yes,No
0623-IIHUG,Female,Yes,No,No
4572-DVCGN,Female,No,No,No
9057-MSWCO,Male,Yes,Yes,No
1010-DIAUQ,Male,No,No,No
0259-GBZSH,Male,No,No,No
9601-BRXPO,Female,No,Yes,No
6905-NIQIN,Male,No,No,No
5167-ZFFMM,Male,No,No,No
4895-TMWIR,Male,Yes,Yes,No
0533-BNWKF,Female,Yes,Yes,No
6599-CEBNN,Female,No,No,No
0979-PHULV,Male,No,Yes,No
4800-VHZKI,Female,No,No,No
7989-CHGTL,Male,No,No,No
0334-GDDSO,Male,Yes,No,No
0578-SKVMF,Female,No,Yes,No
5564-NEMQO,Female,Yes,No,No
9063-ZGTUY,Female,No,Yes,No
2957-LOLHO,Male,No,No,No
7752-XUSCI,Female,No,No,No
4110-PFEUZ,Female,No,No,No
0256-LTHVJ,Female,No,Yes,No
0880-TKATG,Male,No,Yes,No
3811-VBYBZ,Male,No,No,No
4640-UHDOS,Female,No,Yes,No
3583-EKAPL,Male,No,No,No
9399-APLBT,Female,No,Yes,No
2359-KMGLI,Male,No,No,No
0306-JAELE,Male,No,No,No
6227-HWPWX,Female,No,No,No
0447-BEMNG,Female,No,Yes,No
5949-XIKAE,Female,No,Yes,No
8372-JUXUI,Male,No,No,No
0388-EOPEX,Female,No,Yes,No
8205-OTCHB,Male,No,No,No
6235-VDHOM,Female,Yes,No,No
7783-YKGDV,Female,No,No,No
5609-CEBID,Female,Yes,No,No
7218-HKQFK,Male,No,Yes,No
4636-QRJKY,Female,No,Yes,No
5956-VKDTT,Female,Yes,Yes,No
9412-GHEEC,Male,No,No,No
0257-ZESQC,Female,Yes,Yes,No
6825-UYPFK,Female,No,No,No
8397-MVTAZ,Male,No,Yes,No
9282-IZGQK,Female,No,No,No
1342-JPNKI,Male,No,No,No
2817-NTQDO,Male,No,No,No
6986-IJDHX,Male,No,Yes,No
5301-GAUUY,Male,No,No,No
0939-YAPAF,Female,No,No,No
4710-FDUIZ,Male,No,Yes,No
1218-VKFPE,Female,No,Yes,No
